P312;Call a POISON CENTRE/doctor/%var1%<...> if you feel unwell.
P313;Get medical advice/attention.
P314;Get medical advice/attention if you feel unwell.
P315;Get immediate medical advice/attention.
P320;Specific treatment is urgent (see %var1%<...> on this label).
P321;Specific treatment (see %var1%<...> on this label).
P322;Specific measures (see %var1%<...> on this label).
P330;Rinse mouth.
P331;Do NOT induce vomiting.
P332;If skin irritation occurs:
P332 + P313;If skin irritation occurs:  Get medical advice/attention.
P333;If skin irritation or rash occurs:
P333 + P313;If skin irritation or rash occurs:  Get medical advice/attention.
P334;Immerse in cool water [or wrap in wet bandages].
P335;Brush off loose particles from skin.
P335 + P334;Brush off loose particles from skin. Immerse in cool water/wrap in wet bandages.
P336;Thaw frosted parts with lukewarm water.  Do not rub affected area.
P336 + P315;Thaw frosted parts with lukewarm water. Do not rub affected area. Get immediate medical advice/attention.
P337;If eye irritation persists:
P337 + P313;If eye irritation persists:  Get medical advice/attention.
P338;Remove contact lenses, if present and easy to do. Continue rinsing.
P340;Remove person to fresh air and keep comfortable for breathing.
P341;If breathing is difficult, remove victim to fresh air and keep at rest in a position comfortable for breathing.
P342;If experiencing respiratory symptoms:
P342 + P311;If experiencing respiratory symptoms:  Call a POISON CENTER/doctor/%var1%<...>
P350;Gently wash with plenty of soap and water.
P351;Rinse cautiously with water for several minutes.
P352;Wash with plenty of water/%var1%<...>
P353;Rinse skin with water [or shower].
P360;Rinse immediately contaminated clothing and skin with plenty of water before removing clothes.
P361;Take off immediately all contaminated clothing.
P361 + P364;Take off immediately all contaminated clothing and wash it before reuse.
P362;Take off contaminated clothing.
P362 + P364;Take off contaminated clothing and wash it before reuse.
P363;Wash contaminated clothing before reuse.
P364;And wash it before reuse.
P370;In case of fire:
P370 + P372 + P380 + P373;In case of fire: Explosion risk. Evacuate area. DO NOT fight fire when fire reaches explosives.
P370 + P376;In case of fire:  Stop leak if safe to do so.
P370 + P378;In case of fire:  Use %var1%<...> to extinguish.
P370 + P380;In case of fire: Evacuate area.
P370 + P380 + P375;In case of fire:  Evacuate area.  Fight fire remotely due to the risk of explosion.
P370 + P380 + P375 [+ P378];In case of fire: Evacuate area. Fight fire remotely due to the risk of explosion. [Use %var1%<...> to extinguish].
P371;In case of major fire and large quantities:
P371 + P380 + P375;In case of major fire and large quantities:  Evacuate area.  Fight fire remotely due to the risk of explosion.
P372;Explosion risk.
P373;DO NOT fight fire when fire reaches explosives.
P374;Fight fire with normal precautions from a reasonable distance.
P375;Fight fire remotely due to the risk of explosion.
P376;Stop leak if safe to do so.
P377;Leaking gas fire: Do not extinguish, unless leak can be stopped safely.
P378;Use %var1%<...> to extinguish.
P380;Evacuate area.
P381;In case of leakage, eliminate all ignition sources.
P390;Absorb spillage to prevent material damage.
P391;Collect spillage.
P401;Store in accordance with %var1%<...> .
P402;Store in a dry place.
P402 + P404;Store in a dry place.  Store in a closed container.
P403;Store in a well-ventilated place.
P403 + P233;Store in a well-ventilated place.  Keep container tightly closed.
P403 + P235;Store in a well-ventilated place.  Keep cool.
P404;Store in a closed container.
P405;Store locked up.
P406;Store in a corrosion-resistant/%var1%<...> container with a resistant inner liner.
P407;Maintain air gap between stacks or pallets.
P410;Protect from sunlight.
P410 + P403;Protect from sunlight.  Store in a well-ventilated place.
P410 + P412;Protect from sunlight.  Do not expose to temperatures exceeding 50 °C/122 °F.
P411;Store at temperatures not exceeding %var1%<…°C/…°F>.
P411 + P235;Store at temperatures not exceeding %var1%<... °C/...°F>. Keep cool.
P412;Do not expose to temperatures exceeding 50 °C/ 122 °F.
P413;Store bulk masses greater than %var1%<… kg/…lbs> at temperatures not exceeding %var2%<…°C/…°F>.
P420;Store separately.
P422;Store contents under %var1%<...>
P501;Dispose of contents/container to %var1%<...>
P502;Refer to manufacturer or supplier for information on recovery or recycling.
P503;Refer to manufacturer/supplier %var1%<...> for information on disposal/recovery/recycling.
